
---	Treino para o 0-fold	---
Epochs        35500. Current error: 0.0017653488. Bit fail 0.
Epochs        35600. Current error: 0.0017653996. Bit fail 0.
Epochs        35700. Current error: 0.0017654495. Bit fail 0.
Epochs        35800. Current error: 0.0017653838. Bit fail 0.
Epochs        35900. Current error: 0.0017653790. Bit fail 0.
Epochs        36000. Current error: 0.0017654843. Bit fail 0.
Epochs        36100. Current error: 0.0017655047. Bit fail 0.
Epochs        36200. Current error: 0.0017655080. Bit fail 0.
Epochs        36300. Current error: 0.0017655112. Bit fail 0.
Epochs        36400. Current error: 0.0017654884. Bit fail 0.
Epochs        36500. Current error: 0.0017654308. Bit fail 0.
Epochs        36600. Current error: 0.0017654743. Bit fail 0.
Epochs        36700. Current error: 0.0017655131. Bit fail 0.
Epochs        36800. Current error: 0.0017654381. Bit fail 0.
Epochs        36900. Current error: 0.0017655314. Bit fail 0.
Epochs        37000. Current error: 0.0017654619. Bit fail 0.
Epochs        37100. Current error: 0.0017655070. Bit fail 0.
Epochs        37200. Current error: 0.0017653874. Bit fail 0.
Epochs        37300. Current error: 0.0017655279. Bit fail 0.
Epochs        37400. Current error: 0.0017655188. Bit fail 0.
Epochs        37500. Current error: 0.0017656619. Bit fail 0.
Epochs        37600. Current error: 0.0017654577. Bit fail 0.
Epochs        37700. Current error: 0.0017658649. Bit fail 0.
Epochs        37800. Current error: 0.0017658332. Bit fail 0.
Epochs        37900. Current error: 0.0017657573. Bit fail 0.
Epochs        38000. Current error: 0.0017657547. Bit fail 0.
Epochs        38100. Current error: 0.0017658058. Bit fail 0.
Epochs        38200. Current error: 0.0017658019. Bit fail 0.
Epochs        38300. Current error: 0.0017658303. Bit fail 0.
Epochs        38400. Current error: 0.0017659101. Bit fail 0.
Epochs        38500. Current error: 0.0017658368. Bit fail 0.
Epochs        38600. Current error: 0.0017657977. Bit fail 0.
Epochs        38700. Current error: 0.0017659729. Bit fail 0.
Epochs        38800. Current error: 0.0017659108. Bit fail 0.
Epochs        38900. Current error: 0.0017660494. Bit fail 0.
Epochs        39000. Current error: 0.0017660866. Bit fail 0.
Epochs        39100. Current error: 0.0017660708. Bit fail 0.
Epochs        39200. Current error: 0.0017659966. Bit fail 0.
Epochs        39300. Current error: 0.0017659953. Bit fail 0.
Epochs        39400. Current error: 0.0017659398. Bit fail 0.
Epochs        39500. Current error: 0.0017659232. Bit fail 0.
Epochs        39600. Current error: 0.0017659076. Bit fail 0.
Epochs        39700. Current error: 0.0017658791. Bit fail 0.
Epochs        39800. Current error: 0.0017659195. Bit fail 0.
Epochs        39900. Current error: 0.0017658449. Bit fail 0.
Epochs        40000. Current error: 0.0017658300. Bit fail 0.
Epochs        40100. Current error: 0.0017658498. Bit fail 0.
Epochs        40200. Current error: 0.0017657864. Bit fail 0.
Epochs        40300. Current error: 0.0017657499. Bit fail 0.
Epochs        40400. Current error: 0.0017657415. Bit fail 0.
Epochs        40500. Current error: 0.0017658264. Bit fail 0.
Epochs        40600. Current error: 0.0017657859. Bit fail 0.
Epochs        40700. Current error: 0.0017659781. Bit fail 0.
Epochs        40800. Current error: 0.0017658577. Bit fail 0.
Epochs        40900. Current error: 0.0017659221. Bit fail 0.
Epochs        41000. Current error: 0.0017659394. Bit fail 0.
Epochs        41100. Current error: 0.0017658224. Bit fail 0.
Epochs        41200. Current error: 0.0017659649. Bit fail 0.
Epochs        41300. Current error: 0.0017659580. Bit fail 0.
Epochs        41400. Current error: 0.0017660740. Bit fail 0.
Epochs        41500. Current error: 0.0017660010. Bit fail 0.
Epochs        41600. Current error: 0.0017660616. Bit fail 0.
Epochs        41700. Current error: 0.0017659597. Bit fail 0.
Epochs        41800. Current error: 0.0017660314. Bit fail 0.
Epochs        41900. Current error: 0.0017660192. Bit fail 0.
Epochs        42000. Current error: 0.0017660605. Bit fail 0.
Epochs        42100. Current error: 0.0017660809. Bit fail 0.
Epochs        42200. Current error: 0.0017660399. Bit fail 0.
Epochs        42300. Current error: 0.0017662236. Bit fail 0.
Epochs        42400. Current error: 0.0017663490. Bit fail 0.
